,0
0,malware
1,state repression
2,climate consensus
3,Canary Islands
4,Angela I
5,Evan Rachel Wood
6,used cars
7,woodcarving
8,taboo
9,Grüne Woche
10,Dugong
11,Ghassem Soleimani
12,Food Truck
13,Israel lockdown
14,Philippe Monguillot
15,Boko Haram
16,US Capitol violence
17,Benedikt Taschen
18,Charlemagne Prize
19,Yahya Jammeh
20,Middle Ages
21,InternetLab
22,Host
23,Mosambique
24,child vaccinations
25,Abel prize
26,Thierry Breton
27,work-life balance
28,Mossad
29,digital contact tracing
30,Air Traffic Control
31,Omar Farouq
32,Tyrannosaurus rex
33,Israeli Supreme Court
34,Jean Paul Gaultier
35,steel industry
36,Mikhail Gorbatchev
37,Krzyzowa
38,Domestic violence
39,Jovenel Moise
40,Global Warmining
41,forest management
42,Vatican Apostolic Archive
43,myoelectric
44,Italian Democratic Party
45,Dominican Republic
46,Verbot
47,Robert Zoellick
48,President Abdelaziz Bouteflika
49,Fight
50,banknotes
51,De Telegraaf
52,Pipe Shelf
53,Blended Learning
54,Muhyiddin Yassin
55,National Unity Government
56,KfW
57,world natural heritage site
58,Israel Museum
59,Mahamane Ousmane
60,Bosphorus
61,Venetian Lagoon
62,contemporary classical music
63,migrant rescue ship
64,Uji City
65,PDC World Darts Championship
66,Future Forward Party
67,anti-migrant bill
68,herbs
69,smallpox
70,headscarves
71,Holy See
72,Universal Postal Union
73,Court of Justice of the European Union
74,euros
75,Horst Heldt
76,Ali B.
77,Little Amal
78,full-face veil
79,Kahurangi National Park
80,KNVB
81,Bhutan
82,gender parity
83,EU-Russia relations
84,road trip
85,financial crimes
86,requiem
87,Spirit
88,the Jeremy Kyle Show
89,China's new silk road
90,Manila airport
91,code4africa
92,social explosion
93,Vladimir Kara-Murza
94,German Renewable Energy Sources Act (EEG)
95,Ayatollah Khamenei
96,white farmers
97,Global Media Forum 2017
98,Ivory-billed woodpecker
99,South Africa refugee laws
100,Article 7
101,double helix
102,Animal welfare
103,Theodor Fontane
104,Playoff
105,Ronald Pofalla
106,California variant
107,Independent National Electoral Commission (INEC)
108,President Samia Suluhu Hassan
109,Robert Durst
110,Theodor Barth
111,farmers
112,Royal Commission
113,ranking
114,mistakes
115,VMRO-DPMNE
116,LGBT+ rights
117,COP26
118,Witbooi
119,Orenburg
120,Serge Gainsbourg
121,artistic freedom
122,Gutenberg
123,King Felipe VI
124,racist slur
125,Sefer Bilecen
126,police shootings
127,Takeshima islands
128,Durban
129,Hiking
130,Keira Knightley
131,Bungee jumping
132,racially motivated crime
133,Millbank
134,Colosseum
135,Rajasthan
136,hacker
137,Ottoman Turkey
138,Golden State Warriors
139,judiaism
140,ZDF
