date,India vs South Africa,Cameron Boyce,Copa America,Bangladesh vs India,iPhone 11,Game of Thrones,Avengers: Endgame,Joker,Notre Dame,ICC Cricket World Cup,Coronavirus,Election results,Kobe Bryant,Zoom,IPL,India vs New Zealand,Coronavirus update,Coronavirus symptoms,Joe Biden,Google Classroom,Australia vs India,India vs England,NBA,Euro 2021,Copa América,T20 World Cup,Squid Game,DMX,Wordle,Ukraine,Queen Elizabeth,Ind vs SA,World Cup,India vs West Indies,iPhone 14,Jeffrey Dahmer,Indian Premier League
2019-01-06,0,0,1,0,1,10,2,5,1,1,0,0,0,5,1,0,0,0,0,29,10,0,46,0,1,0,0,1,0,1,3,0,1,0,0,0,1
2019-01-13,0,0,0,0,1,11,2,5,1,1,0,0,0,5,1,0,0,0,0,28,13,0,50,0,1,0,0,1,0,1,1,0,1,0,0,1,1
2019-01-20,0,0,2,0,1,9,1,5,1,1,0,0,0,5,1,7,0,0,0,23,1,0,45,0,2,0,0,1,0,1,1,0,1,0,0,1,1
2019-01-27,0,0,1,0,1,8,1,5,1,2,0,0,0,5,1,6,0,0,0,26,0,0,51,0,1,0,0,1,0,1,1,0,1,0,0,1,1
2019-02-03,0,0,0,0,1,10,3,5,1,1,0,0,0,5,1,8,0,0,0,31,0,0,57,0,1,0,0,1,0,1,1,0,1,0,0,1,2
2019-02-10,0,0,0,0,1,9,2,5,1,1,0,0,0,5,1,2,0,0,0,26,1,0,48,0,1,0,0,1,0,1,1,0,0,0,0,1,1
2019-02-17,0,0,0,0,1,9,1,5,1,1,0,0,0,5,1,0,0,0,1,21,1,0,39,0,0,0,0,1,0,1,1,0,1,0,0,0,1
2019-02-24,0,0,0,0,1,10,2,5,1,1,0,0,0,5,1,0,0,0,1,28,9,0,47,0,1,0,0,1,0,1,1,0,1,0,0,0,2
2019-03-03,0,0,0,0,1,15,4,5,1,1,0,0,0,5,2,0,0,0,1,26,11,0,47,0,1,0,0,1,0,1,1,0,1,0,0,0,2
2019-03-10,0,0,1,0,1,13,12,5,1,1,0,0,0,5,3,0,0,0,1,24,12,0,40,0,1,0,0,1,0,1,1,0,1,0,0,0,3
2019-03-17,0,0,1,0,1,14,9,5,1,2,0,0,0,5,15,0,0,0,1,24,0,0,42,0,1,0,0,1,0,1,1,0,1,0,0,0,5
2019-03-24,0,0,1,0,1,16,11,5,1,1,0,0,0,5,55,0,0,0,1,23,0,0,42,0,1,0,0,1,0,1,1,0,1,0,0,0,13
2019-03-31,0,0,1,0,1,24,21,14,2,1,0,0,0,5,52,0,0,0,4,22,0,0,41,0,1,0,0,1,0,1,1,0,1,0,0,1,14
2019-04-07,0,0,1,0,1,38,14,8,2,1,0,0,0,5,52,0,0,0,1,23,0,0,46,0,1,0,0,1,0,1,1,0,1,0,0,1,13
2019-04-14,0,0,0,0,1,100,21,8,100,3,0,0,0,6,55,0,0,0,1,17,0,0,80,0,1,0,0,1,0,1,1,0,2,0,0,0,14
2019-04-21,0,0,1,0,1,62,100,6,6,3,0,0,0,6,60,0,0,0,4,20,0,0,74,0,1,0,0,1,0,1,1,0,1,0,0,1,16
2019-04-28,0,0,1,0,1,80,78,5,3,4,0,0,0,5,62,0,0,0,2,25,0,0,83,0,1,0,0,1,0,1,1,0,1,0,0,1,14
2019-05-05,0,0,1,0,2,59,37,5,2,3,0,0,0,6,48,0,0,0,1,25,0,0,95,0,1,0,0,1,0,1,2,0,1,0,0,1,12
2019-05-12,0,0,2,0,2,69,21,5,2,6,0,1,0,5,17,0,0,0,1,23,0,0,86,0,3,0,0,1,0,1,1,0,2,0,0,1,4
2019-05-19,0,0,3,0,1,81,15,5,2,10,0,8,0,6,1,2,0,0,1,19,0,0,72,0,3,0,0,1,0,1,1,0,3,0,0,1,1
2019-05-26,0,0,4,19,2,21,12,5,2,30,0,1,0,6,1,1,0,0,1,13,0,0,63,0,4,0,0,1,0,1,1,0,8,1,0,1,1
2019-06-02,20,0,6,1,1,12,10,5,1,62,0,0,0,6,1,0,0,0,1,11,0,0,89,0,5,0,0,1,0,1,2,16,17,0,0,0,0
2019-06-09,0,0,31,0,2,10,9,5,1,67,0,0,0,6,1,6,0,0,1,8,10,0,97,0,30,0,0,1,0,1,1,1,22,0,0,0,1
2019-06-16,0,0,90,0,1,8,10,5,1,84,0,0,0,6,1,0,0,0,1,5,1,0,44,0,74,0,0,1,0,1,1,0,29,0,0,0,1
2019-06-23,0,0,100,0,1,7,10,5,1,89,0,0,0,6,1,0,0,0,2,3,0,0,25,0,100,0,0,1,0,1,1,0,33,13,0,0,1
2019-06-30,0,0,54,15,2,7,8,5,1,100,0,0,0,6,1,0,0,0,1,3,1,11,42,0,65,1,0,1,0,1,1,1,39,1,0,0,0
2019-07-07,0,100,22,0,2,6,7,5,1,67,0,0,0,6,1,16,0,0,1,2,1,1,27,0,22,2,0,1,0,1,1,0,26,1,0,0,1
2019-07-14,0,5,1,0,3,6,7,6,1,28,0,0,0,6,1,0,0,0,1,2,0,0,18,0,1,1,0,1,0,1,1,0,9,2,0,0,1
2019-07-21,0,2,1,0,2,5,10,6,1,3,0,0,0,6,1,0,0,0,0,3,0,0,14,0,1,0,0,1,0,1,1,0,2,1,0,0,0
2019-07-28,0,3,1,0,3,5,11,6,1,2,0,0,0,6,0,0,0,0,2,3,0,0,12,0,1,0,0,1,0,1,1,0,1,5,0,0,0
2019-08-04,0,2,1,0,3,5,8,6,2,2,0,0,0,6,1,0,0,0,1,5,0,0,12,0,1,0,0,1,0,1,1,0,1,12,0,0,1
2019-08-11,0,2,0,0,4,5,8,6,2,2,0,0,0,6,0,0,0,0,1,11,0,0,12,0,1,0,0,1,0,1,1,0,1,8,0,1,1
2019-08-18,0,1,0,0,5,5,5,6,2,1,0,0,0,6,0,0,0,0,1,20,0,0,11,0,1,0,0,1,0,1,1,0,1,5,0,0,1
2019-08-25,0,1,0,0,6,4,4,13,2,1,0,0,0,6,1,0,0,0,1,28,0,0,9,0,1,0,0,1,0,1,1,0,1,6,0,0,1
2019-09-01,1,1,0,0,8,4,4,21,4,1,0,0,0,6,0,0,0,0,1,28,0,0,12,0,1,0,0,1,0,1,1,1,2,5,0,0,1
2019-09-08,1,1,0,0,100,4,3,15,2,1,0,0,0,6,0,0,0,0,1,39,0,0,12,0,1,0,0,1,0,1,1,1,2,0,0,0,1
2019-09-15,9,1,0,0,66,4,3,13,3,1,0,0,0,6,0,0,0,0,1,39,0,0,11,0,0,0,0,1,0,1,1,11,3,0,0,0,1
2019-09-22,5,1,0,0,61,5,3,17,4,1,0,0,0,6,0,0,0,0,2,37,0,0,11,0,0,0,0,1,0,2,1,6,4,0,0,0,1
2019-09-29,11,0,0,0,43,4,2,65,2,1,0,0,0,6,0,0,0,0,2,37,0,0,13,0,1,0,0,1,0,1,1,23,3,0,0,0,1
2019-10-06,78,0,0,0,40,4,2,100,2,1,0,0,0,6,1,0,0,0,1,32,0,0,24,0,0,0,0,1,0,1,1,26,3,0,0,0,1
2019-10-13,44,0,0,2,38,3,2,69,3,1,0,0,0,6,0,0,0,0,1,32,0,0,21,0,0,0,0,1,0,1,1,14,4,0,0,0,1
2019-10-20,50,0,0,0,36,4,2,52,2,1,0,3,0,6,1,0,0,0,1,32,0,0,46,0,1,0,0,1,0,1,1,18,3,0,0,0,2
2019-10-27,0,0,0,2,33,4,2,46,3,1,0,0,0,6,1,0,0,0,1,30,0,0,54,0,0,1,0,1,0,1,1,0,5,0,0,1,1
2019-11-03,0,0,0,67,32,3,2,27,2,1,0,1,0,6,1,0,0,0,1,30,1,0,51,0,0,0,0,1,0,1,1,0,1,1,0,0,2
2019-11-10,0,0,0,99,33,3,2,26,2,1,0,0,0,7,1,0,0,0,1,30,0,0,51,0,0,0,0,1,0,1,1,0,1,1,0,0,1
2019-11-17,0,0,0,61,35,4,2,23,2,1,0,0,0,7,1,1,0,0,1,32,2,1,51,0,1,0,0,1,0,1,4,0,1,1,0,0,1
2019-11-24,0,0,0,11,42,4,2,17,2,1,0,0,0,8,1,0,0,0,1,13,0,0,49,0,0,0,0,1,0,1,3,0,0,0,0,1,1
2019-12-01,0,0,1,0,36,4,1,15,2,1,0,0,0,7,1,0,0,0,2,28,0,0,48,0,1,0,0,1,0,1,3,0,0,28,0,0,2
2019-12-08,0,1,0,0,33,4,1,14,2,1,0,2,0,7,1,0,0,0,1,28,0,0,50,0,0,0,0,1,0,1,2,0,1,61,0,0,1
2019-12-15,0,0,0,0,35,4,2,14,2,1,0,0,0,6,6,1,0,0,1,23,1,0,48,0,0,0,0,1,0,1,2,0,1,100,0,0,2
2019-12-22,0,1,0,0,43,5,2,16,2,1,0,1,0,6,2,0,0,0,1,2,0,0,56,0,0,0,0,1,0,1,2,0,1,55,0,1,2
2019-12-29,0,1,0,0,35,5,2,17,2,1,0,0,0,6,1,0,0,0,1,4,0,0,49,0,0,0,0,1,0,1,2,0,0,0,0,0,2
2020-01-05,1,0,0,0,32,4,2,17,2,1,0,0,0,6,1,0,0,0,1,24,1,0,46,0,1,0,0,1,0,2,2,1,0,1,0,0,1
